Title,ISBN,SKU,Status,Series Name,Series Number
Football Nomad,9781608884087,1608884082,Available for Printing/Download,,
Journey to the End of the Earth: WW2 Wargames in the Frozen North,2370002907323,2370002907323,Title has been Cancelled,,
Annotated Bibliography of the Space Shuttle (Two Volumes),9781608888986,1608888983,Available for Printing/Download,,
The Sailor's Word Book,9781608888993,1608888991,Available for Printing/Download,,
"Guides to Captured German Documents Microfilmed at Alexandria, Virginia",9781608889006,1608889009,Available for Printing/Download,,
"A Priceless Advantage: U.S. Navy Communications Intelligence and the Battles of Coral Sea, Midway, and the Aleutians",9781608889013,1608889017,Available for Printing/Download,,
An Administrative History of Pts in World War II,9781608889020,1608889025,Available for Printing/Download,,
Motor Torpedo Boat Manual,9781608889037,1608889033,Available for Printing/Download,,
Designing a Laser for the Littoral Combat Ship,9781608889044,1608889041,Available for Printing/Download,,
Analysis of Unmanned Undersea Vehicle (Uuv) Architectures and an Assessment of Uuv Integration Into Undersea Applications,9781608889051,160888905X,Available for Printing/Download,,
A Serendipity Reader on Serendipity,9781608889068,1608889068,Available for Printing/Download,,
A Serendipity Reader on Mindfulness,9781608889075,1608889076,Available for Printing/Download,,
A Serendipity Reader on Milkweed,9781608889082,1608889084,Available for Printing/Download,,
A Serendipity Reader on Frigates,9781608889099,1608889092,Available for Printing/Download,,
A Serendipity Reader on Deutschland,9781608889105,1608889106,Available for Printing/Download,,
"Cool Maps for Curious Kids #2: Afghanistan, an Unauthorized Tour of the Land of a Thousand Splendid Suns and the Kite Runner",9781934840009,1934840009,Title has expired,,
The Nine Current Supreme Court Justices: Colorful Info for Curious Minds #3,9781934840016,1934840017,Title has expired,,
"CVN-78 GERALD R. FORD, U.S. Navy Aircraft Carrier",9781934840023,1934840025,Title has expired,,
X-47 Unmanned Combat Air Vehicle (UCAV),9781934840030,1934840033,Title has expired,,
Our Colorful Moon: Beautiful Images to Energize and Delight,9781934840047,1934840041,Title has expired,,
"Liveblogging BLACKWATER by Jeremy Scahill: Unauthorized Color Commentary, Maps, and Images",9781934840054,193484005X,Title has expired,,
"Cool Maps of Iraq: History, Oil Wealth, Politics, Population, Religion, Satellite, and More",9781934840078,1934840076,Title has expired,,
"CVN-76 RONALD REAGAN, U.S. Navy Aircraft Carrier",9781934840085,1934840084,Title has expired,,
Borodino: Why It Matters Today,9781934840092,1934840092,Title has expired,,
Napoleon In Moscow: Why It Matters Today,9781934840108,1934840106,Title has expired,,
Cool Maps of Baghdad: the Emerald City and other cities of Iraq,9781934840115,1934840114,Title has expired,,
"Mastering Space War: The Advanced Strategies, Technologies, and Theories Needed For Victory",9781934840122,1934840122,Available for Printing/Download,,
"Cool Maps of Iran: Persian History, Oil Wealth, Politics, Population, Religion, Satellite, WMD and More",9781934840139,1934840130,Title has expired,,
"Cool Maps of Indonesia: An Unauthorized View of the Land of EAT, PRAY, LOVE",9781934840146,1934840149,Title has expired,,
"Cool Maps of Cuba: An Atlas of History, Population, Resources Before and After Fidel Castro",9781934840153,1934840157,Title has expired,,
"Jane's Fighting Ships 1904. (Naval Encyclopedia and Year Book): Facsimile Edition. Volume 2 of 2.  United States, Japan, Italy, Austria-Hungary, Coast Defense Navies, Minor Navies, topical surveys.",9781934840160,1934840165,Available for Printing/Download,,
The Handbook of Fifth-Generation Warfare (5GW),9781934840177,1934840173,Available for Printing/Download,,
"BB-67 Montana, U.S. Navy Battleship: Why She Matters Today",9781934840184,1934840181,Title has expired,,
"CVN-68 NIMITZ, U.S. Navy Aircraft Carrier",9781934840191,193484019X,Title has expired,,
CVN-69 DWIGHT D. EISENHOWER: U.S. Navy Aircraft Carrier,9781934840207,1934840203,Title has expired,Cool Ships,2
"CVN-70 CARL VINSON, U.S. Navy Aircraft Carrier",9781934840214,1934840211,Title has expired,,
"CVN-71 THEODORE ROOSEVELT, U.S. Navy Aircraft Carrier",9781934840221,193484022X,Title has expired,,
"CVN-72 ABRAHAM LINCOLN, U.S. Navy Aircraft Carrier",9781934840238,1934840238,Title has expired,,
"CVN-73 GEORGE WASHINGTON, U.S. Navy Aircraft Carrier",9781934840245,1934840246,Title has expired,,
"CVN-74 JOHN C. STENNIS, U.S. Navy Aircraft Carrier",9781934840252,1934840254,Title has expired,,
"CVN-75 HARRY S. TRUMAN, U.S. Navy Aircraft Carrier",9781934840269,1934840262,Available for Printing/Download,,
The United States Secret Service Failed To Prepare for Insurrection Day: Scanned Documents Released via FOIA,9781934840276,1934840270,Available for Printing/Download,,
"Ddg-81 Winston S. Churchill, U.S. Navy Destroyer",9781934840283,1934840289,Title has expired,,
Report on Matters Related to Intelligence Activities and Investigations Arising Out of the 2016 Presidential Campaigns [Annotated],9781934840290,1934840297,Revision Incomplete,AI Lab for Book-Lovers,25
"SSN-23 JIMMY CARTER, U.S. Navy Submarine (Seawolf class)",9781934840306,1934840300,Title has expired,,
Cool Maps of France: Paris and Beyond,9781934840313,1934840319,Title has expired,,
Cool Maps of France's Overseas Territories and Departments,9781934840320,1934840327,Title has expired,,
"Reread THE DEATHLY HALLOWS Today! with unauthorized, pithy, chapter-by-chapter perspectives",9781934840337,1934840335,Title has expired,,
Battleship YAMATO: Why She Matters Today,9781934840344,1934840343,Title has expired,,
"Revolutionary Strategies in Early Christianity: 4th Generation Warfare (4GW) Against the Roman Empire, and the Counterinsurgency (COIN) Campaign to Save It",9781934840368,193484036X,Title has expired,,
"War Bots: How U.S. Military Robots Are Transforming War in Iraq, Afghanistan, and the Future",9781934840375,1934840378,Available for Printing/Download,,
Iowa Class Battleships and Alaska Class Large Cruisers Conversion Projects 1942-1964: An Illustrated Technical Reference,9781934840382,1934840386,Title has expired,,
"Through Stranger Eyes: Reviews, Introductions, Tributes & Iconoclastic Essays",9781934840399,1934840394,Available for Printing/Download,,
FBI Whistleblowers: What Their Disclosures Indicate About The Politicization Of The FBI And Justice Department: Republican Staff Report,9781934840412,1934840416,Available for Printing/Download,,
The Ship Killers: The Definitive Illustrated History of the Torpedo Boat,9781934840429,1934840424,Available for Printing/Download,,
Vocabolario Marino E Militare: Maritime and Military Vocabulary [Italian],9781934840436,1934840432,Available for Printing/Download,,
The Unauthorized Harry Potter Quiz Book: 165 Questions Ranging from The Sorcerer's Stone to The Deathly Hallows,9781934840443,1934840440,Title has expired,,
"The John Boyd Roundtable: Debating Science, Strategy, and War",9781934840467,1934840467,Available for Printing/Download,,
THE SHACK: Unauthorized Theological Critique,9781934840498,1934840491,Available for Printing/Download,,
"A Marine of the Imperial Guard: Eyewitness to the French Failure in Spain, 1808",9781934840504,1934840505,Available for Printing/Download,,
"We Tried to Warn You: Innovations in Leadership for the Learning Organization; User Experience, Product Management, Strategy, and the Logic",9781934840511,1934840513,Available for Printing/Download,,
In the Shadow of the Battleship: Considering the Cruisers of World War II,9781934840528,1934840521,Available for Printing/Download,,
European USSR Coasts and Landing Zones: NATO Invasion Targets During the Cold War,9781934840535,193484053X,Setup Incomplete,AI Lab for Book-Lovers,
Skeeter Sneeter Doodlebop,9781934840542,1934840548,Title has expired,,
Re-Read HARRY POTTER AND THE SORCERER'S STONE Today! An Unauthorized Guide,9781934840573,1934840572,Available for Printing/Download,,
"The Definitive Illustrated History of the Torpedo Boat - Volume I, Overview (The Ship Killers)",9781934840597,1934840599,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat - Volume II, 1280 - 1899 (The Ship Killers)",9781934840603,1934840602,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat -- Volume III, 1900 - 1939 (The Ship Killers)",9781934840610,1934840610,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat -- Volume IV, 1939-1940 (The Ship Killers)",9781934840627,1934840629,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat, Volume V: 1941 (The Ship Killers)",9781934840634,1934840637,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat, Volume VI: 1942 (The Ship Killers)",9781934840641,1934840645,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat, Volume VII: 1943 (the Ship Killers)",9781934840658,1934840653,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat, Volume VIII: 1944 (the Ship Killers)",9781934840665,1934840661,Title has expired,,
"The Definitive Illustrated History of the Torpedo Boat, Volume IX: 1945 (the Ship Killers)",9781934840672,193484067X,Title has expired,,
Osama Bin Laden: A Case Study,9781608881277,160888127X,Title has been Cancelled,,
"The Definitive Illustrated History of the Torpedo Boat, Volume X: Bonus Material and Appendixes",9781934840689,1934840688,Title has expired,,
Pocket Battleship Deutschland (Lutzow): Kriegsmarine Illustrated Ship Histories,9781934840696,1934840696,Available for Printing/Download,,
We Are The Future - India,9781934840702,193484070X,Setup Incomplete,,
Re-read HARRY POTTER AND THE CHAMBER OF SECRETS Today! An Unauthorized Guide,9781934840726,1934840726,Available for Printing/Download,,
"Confidential Human Source Policy Guide [Annotated]: 1018 PG; May 21, 2019",9781934840740,1934840742,Available for Printing/Download,AI Lab for Book-Lovers,28
Unauthorized Half-Blood Prince(tm) Update: Harry Potter Book Six by J. K. Rowling,0975447947,0975447947,Title has been Cancelled,,
Tunnel Rats Version 2.0: Fighting and Winning Future War in a Subterranean Environment,9781934840764,1934840769,Available for Printing/Download,AI Lab for Book-Lovers,29
Suicide Bombers in CONUS,9781934840771,1934840777,Available for Printing/Download,,
The Call of Nepal: My Life In the Himalayan Homeland of Britain's Gurkha Soldiers,9781934840788,1934840785,Available for Printing/Download,,
"Exploring BEEDLE THE BARD: Unauthorized, pithy, tale-by-tale perspectives",9781934840795,1934840793,Available for Printing/Download,,
Threats in the Age of Obama,9781934840801,1934840807,Available for Printing/Download,,
Persuader-in-Chief: Global Opinion and Public Diplomacy in the Age of Obama,9781934840818,1934840815,Available for Printing/Download,,
"Age of Obama: A Reporter's Journey with Clinton, McCain and Obama in The Making of the President, 2008",9781934840825,1934840823,Available for Printing/Download,,
Obama Does Globalistan,9781934840832,1934840831,Available for Printing/Download,,
"Unauthorized ""Half-Blood Prince""(tm) Update",0975447947,5551390306,Title has been Cancelled,,
"Investigation and Review of the Federal Bureau of Prisons' Custody, Care, and Supervision of Jeffrey Epstein at the Metropolitan Correctional Center in New York, New York",9781934840849,193484084X,Available for Printing/Download,,
Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,9781934840856,1934840858,Revision Incomplete,,
Strategic Satellite Systems in a Post-Cold-War Environment,9781934840863,1934840866,Available for Printing/Download,,
The Impact of the USS Forrestal's 1967 Fire on United States Navy Shipboard Damage Control,9781934840870,1934840874,Available for Printing/Download,,
"Detainees at Guantanamo and Abu Ghraib: Taguba Report, Geneva Conventions, Rasul, Hamdi, Padilla cases",0975447955,0975447955,Title has been Cancelled,,
Soviet Space Technology: What We Thought We Knew in 1959,9781934840887,1934840882,Title in Premedia,Space Power,
Index of Oral Histories Relating to Naval Research and Development,9781934840894,1934840890,Title in Premedia,AI Lab for Book-Lovers,
"Through Hell to Wisdom: the Do-It-Yourself Guide to Dante Alighieri's Inferno, vol. 1 of the Divine Comedy",0975447963,0975447963,Title has been Cancelled,,
Born American: A Chinese Woman's Dream of Liberty,9781934840900,1934840904,Available for Printing/Download,,
Dark Navy: The Italian Regia Marina and the Armistice of 8 September 1943,9781934840917,1934840912,Available for Printing/Download,,
Aquiline: The CIA's Bird Drone Program,9781934840931,1934840939,Title in Premedia,,
Paris Hilton is a Fool,0975447971,0975447971,Title has been Cancelled,,
Secrets of the Modern World: F. W. Maitland,9781934840948,1934840947,Available for Printing/Download,,
Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,9781934840955,1934840955,Available for Printing/Download,,
"The World's Warships 1915: Compiled from Jane's ""Fighting Ships""",9781934840962,1934840963,Available for Printing/Download,,
Principles of War,9781934840979,1934840971,Available for Printing/Download,,
Blood on Our Hands: The American Invasion and Destruction of Iraq,9781934840986,193484098X,Available for Printing/Download,,
Fallen Walls and Fallen Towers,9781934840993,1934840998,Available for Printing/Download,,
