Z;Atom;Refs.;State;Alpha;Year;Comments
20;Ca;[\citenum{Derevianko2010}];$^1S_0$;$157.1$;2010;Combination of theoretical and experimental data
20;Ca;[\citenum{Singh2013}];$^1S_0$;$157.03 \pm 0.80$;2013;R, Dirac, MBPT, CCSD
20;Ca;[\citenum{Chattopadhyay2014}];$^1S_0$;$160.77$;2014;\makecell{R, Dirac + Breit, perturbed relativistic \\coupled-cluster theory (PRCC)}
20;Ca;[\citenum{Visentin2019}];$^1S_0$;$156.10$;2019;CCSD(T), ECP
20;Ca;[\citenum{Visentin2019}];$^1S_0$;$157.61/159.81$;2019;CCSD(T), R X2C-10/NR-10
20;Ca;[\citenum{Bala2019}];$^1S_0$;$157.5$;2019;R, KRCISD/aug-QZ
20;Ca;[\citenum{Schwerdtfeger2019}];$--$;$160.8 \pm 4.0$;2019;recommended
20;Ca;[\citenum{Shukla2020}];$^1S_0$;$158.2$;2020;R, MCDF
20;Ca;[\citenum{Smialkowski2021}];$^1S_0$;$156.2$;2021;SR, CCSD(T), ECP
20;Ca;[\citenum{Zhang2023}];$^1S_0$;$159.43 \pm 0.97$;2023;R, CI+MBPT
21;Sc;[\citenum{Chandler1987, Glass1983}];$^2D^{,3d1}$;$107.1$;1987;NR, small CI, VPA
21;Sc;[\citenum{Glass1983, Glass1987}];$^2D^{,3d1}$;$138.8$;1987;NR, small CI, VPA
21;Sc;[\citenum{Pou-Amérigo1995}];$^2D^{,3d1}$;$142 \pm 21$;1995;NR, MCPF
21;Sc;[\citenum{Torrens2002}];$^2D^{,3d1}$;$114.00$;2002;Interacting-induced-dipoles polarisation model
21;Sc;[\citenum{Lide2004, Doolen1987}];$^2D_{3/2}^{,3d1}$;$120 \pm 30$;2004;R, Dirac, LDA
21;Sc;[\citenum{Kłos2005a}];$^2D_{3/2}^{,3d1}$;$121 \pm 12$;2005;R, DK, MRCI
21;Sc;[\citenum{Chu2005}];$^2D^{,3d1}$;$105.88$;2005;TD-DFT
21;Sc;[\citenum{Xi-Bo2009}];$^2D^{,3d1}$;$115.46$;2009;DFT
21;Sc;[\citenum{Ma2015}];$^2D^{,3d1}$;$97.2 \pm 9.5$;2015;exp.
21;Sc;[\citenum{Gould2016a}];$^2D^{,3d1}$;$123$;2016;TD-DFT (LEXX)
21;Sc;[\citenum{Chu2004, Gould2016b}];$^2D_{3/2}^{,3d1}$;$106.0$;2016;SIC-DFT (RXH)
21;Sc;[\citenum{Gould2016b}];$^2D^{,3d1}$;$134.6$;2016;TD-DFT (PGG)
21;Sc;[\citenum{A.Manz2019}];$^2D^{,3d1}$;$125.84$;2019;NR, CCSD
21;Sc;[\citenum{Szarek2019}];$^2D_{3/2}^{,3d1}$;$138.39$;2019;R, CCSD(T)/ANO-RCC
21;Sc;[\citenum{Schwerdtfeger2019}];$--$;$97 \pm 10$;2019;recommended
22;Ti;[\citenum{Chandler1987}];$^3F^{,3d2}$;$91.8$;1987;NR, small CI, VPA
22;Ti;[\citenum{Chandler1987}];$^3F^{,3d2}$;$91.4$;1987;NR, small CI, VPA
22;Ti;[\citenum{Pou-Amérigo1995}];$^3F^{,3d2}$;$114 \pm 17$;1995;NR, MCPF
22;Ti;[\citenum{Lide2004, Doolen1987}];$^3F_2^{,3d2}$;$99 \pm 25$;2004;R, Dirac, LDA
22;Ti;[\citenum{Chu2004}];$^3F^{,3d2}$;$85.7$;2004;SIC-DFT
22;Ti;[\citenum{Kłos2005a}];$^3F_2^{,3d2}$;$102 \pm 10$;2005;R, DK, MRCI
22;Ti;[\citenum{Chu2005}];$^3F^{,3d2}$;$94.69$;2005;TD-DFT
22;Ti;[\citenum{Ma2015}];$^3F_2^{,3d2}$;$63.4 \pm 3.4$;2015;exp.
22;Ti;[\citenum{Gould2016a}];$^3F,3d^2$;$102$;2016;TD-DFT (LEXX)
22;Ti;[\citenum{Gould2016b}];$^3F,3d^2$;$89.4$;2016;SIC-DFT (RXH)
22;Ti;[\citenum{Gould2016b}];$^3F,3d^2$;$111.4$;2016;TD-DFT (PGG)
22;Ti;[\citenum{A.Manz2019}];$^3F,3d^2$;$86.92$;2019;NR, CCSD
22;Ti;[\citenum{Szarek2019}];$^3F,3d^2$;$104.01$;2019;R, CCSD(T)/ANO-RCC
22;Ti;[\citenum{Schwerdtfeger2019}];$--$;$100 \pm 10$;2019;recommended
22;Ti;[\citenum{CanalNeto2021}];$^3F,3d^2$;$106.22$;2021;R, CCSD(T)
22;Ti;[\citenum{Neto2021}];$^3F,3d^2$;$98.373$;2021;R, CCSD(T)
22;Ti;[\citenum{Eustice2023}];$^3F_4,3d^2$;$100.4 \pm 1.8$;2023;R, Dirac-HF, CI + all-order
23;V;[\citenum{Chandler1987}];$^4F,3d^3$;$80.6$;1987;NR, small CI, VPA
23;V;[\citenum{Chandler1987}];$^4F,3d^3$;$84.6$;1987;NR, small CI, VPA
23;V;[\citenum{Pou-Amérigo1995}];$^4F,3d^3$;$97 \pm 15$;1995;NR, MCPF
23;V;[\citenum{Lide2004, Doolen1987}];$^4F_{3/2},3d^3$;$84 \pm 21$;2004;R, Dirac, LDA
23;V;[\citenum{Chu2004}];$^4F,3d^3$;$72.8$;2004;SIC-DFT
23;V;[\citenum{Kłos2005a}];$^4F_{3/2},3d^3$;$87.3 \pm 8.7$;2005;R, DK, MRCI
23;V;[\citenum{Ma2015}];$^4F_{3/2},3d^3$;$68.2 \pm 5.4$;2015;exp.
23;V;[\citenum{Gould2016a}];$^4F,3d^3$;$87.3$;2016;TD-DFT (LEXX)
23;V;[\citenum{Gould2016b}];$^4F,3d^3$;$78.2$;2016;SIC-DFT (RXH)
23;V;[\citenum{Gould2016b}];$^4F,3d^3$;$96.2$;2016;TD-DFT (PGG)
23;V;[\citenum{A.Manz2019}];$^4F,3d^3$;$86.85$;2019;NR, CCSD
23;V;[\citenum{Szarek2019}];$^4F,3d^3$;$94.30$;2019;R, CCSD(T)/ANO-RCC
23;V;[\citenum{Schwerdtfeger2019}];$--$;$87 \pm 10$;2019;recommended
23;V;[\citenum{CanalNeto2021}];$^4F,3d^3$;$90.298$;2021;R, CCSD(T)
23;V;[\citenum{Neto2021}];$^4F,3d^3$;$86.798$;2021;R, CCSD(T)
24;Cr;[\citenum{Pou-Amérigo1995}];$^7S,3d^5$;$95 \pm 15$;1995;NR, MCPF
24;Cr;[\citenum{Lide2004, Doolen1987}];$^7S_3,3d^5$;$78 \pm 20$;2004;R, Dirac, LDA
24;Cr;[\citenum{Chu2004}];$^7S,3d^5$;$60.7$;2004;SIC-DFT
24;Cr;[\citenum{Roos2005}];$^7S_3,3d^5$;$78.4 \pm 7.8$;2005;DK, CASPT2
24;Cr;[\citenum{Buchachenko2010}];$^7S_3,3d^5$;$83.2$;2010;R, CCSD(T)
24;Cr;[\citenum{Ma2015}];$^7S_3,3d^5$;$60 \pm 24$;2015;exp.
24;Cr;[\citenum{Gould2016a}];$^7S_3,3d^5$;$78.4$;2016;TD-DFT (LEXX)
24;Cr;[\citenum{Gould2016b}];$^7S_3,3d^5$;$70.4$;2016;TD-DFT (PGG)
24;Cr;[\citenum{Gould2016b}];$^7S_3,3d^5$;$69.8$;2016;SIC-DFT (RXH)
24;Cr;[\citenum{A.Manz2019}];$^7S,3d^5$;$87.77$;2019;NR, CCSD
24;Cr;[\citenum{Szarek2019}];$^7S,3d^5$;$96.20$;2019;R, CCSD(T)/ANO-RCC
24;Cr;[\citenum{Schwerdtfeger2019}];$--$;$83 \pm 12$;2019;recommended
25;Mn;[\citenum{Chandler1987}];$^6S,3d^5$;$65.4$;1987;NR, small CI, VPA
25;Mn;[\citenum{Pou-Amérigo1995}];$^6S,3d^5$;$76 \pm 11$;1995;NR, MCPF
25;Mn;[\citenum{Lide2004, Doolen1987}];$^6S_{5/2},3d^5$;$63 \pm 16$;2004;R, Dirac, LDA
25;Mn;[\citenum{Chu2004}];$^6S,3d^5$;$56.8$;2004;SIC-DFT
25;Mn;[\citenum{Roos2005}];$^6S_{5/2},3d^5$;$66.8 \pm 6.7$;2005;DK, CASPT2
25;Mn;[\citenum{Buchachenko2010}];$^6S_{5/2},3d^5$;$68.5$;2010;R, CCSD(T)
25;Mn;[\citenum{Gould2016a}];$^6S,3d^5$;$66.8$;2016;TD-DFT (LEXX)
25;Mn;[\citenum{Gould2016b}];$^6S,3d^5$;$76.3$;2016;TD-DFT (PGG)
25;Mn;[\citenum{Gould2016b}];$^6S,3d^5$;$63.1$;2016;SIC-DFT (RXH)
25;Mn;[\citenum{A.Manz2019}];$^6S_{5/2},3d^5$;$83.98$;2019;NR, CCSD
25;Mn;[\citenum{Szarek2019}];$^6S_{5/2},3d^5$;$73.55$;2019;R, CCSD(T)/ANO-RCC
25;Mn;[\citenum{Schwerdtfeger2019}];$--$;$68 \pm 9$;2019;recommended
25;Mn;[\citenum{CanalNeto2021}];$^6S,3d^5$;$70.154$;2021;R, CCSD(T)
25;Mn;[\citenum{Neto2021}];$^6S,3d^5$;$63.476$;2021;R, CCSD(T)
26;Fe;[\citenum{Chandler1987}];$^5D,3d^6$;$58.4$;1987;NR, small CI, VPA
26;Fe;[\citenum{Pou-Amérigo1995}];$^5D,3d^6$;$63.93$;1995;NR, MCPF
26;Fe;[\citenum{Lide2004, Doolen1987}];$^5D_4,3d^6$;$57 \pm 14$;2004;R, Dirac, LDA
26;Fe;[\citenum{Chu2004}];$^5D_4,3d^6$;$54.4$;2004;SIC-DFT
26;Fe;[\citenum{Calaminici2004}];$^5D,3d^6$;$62.65$;2004;NR, DFT, GGA(PW86)
26;Fe;[\citenum{Gould2016a}];$^5D_4,3d^6$;$60.4$;2016;TD-DFT (LEXX)
26;Fe;[\citenum{Gould2016b}];$^5D_4,3d^6$;$67.8$;2016;TD-DFT (PGG)
26;Fe;[\citenum{Gould2016b}];$^5D_4,3d^6$;$56.3$;2016;SIC-DFT (RXH)
26;Fe;[\citenum{A.Manz2019}];$^5D,3d^6$;$67.96$;2019;NR, CCSD
26;Fe;[\citenum{Szarek2019}];$^5D,3d^6$;$63.82$;2019;R, CCSD(T)/ANO-RCC
26;Fe;[\citenum{Schwerdtfeger2019}];$--$;$62 \pm 4$;2019;recommended
27;Co;[\citenum{Chandler1987}];$^4F,3d^7$;$52.3$;1987;NR, small CI, VPA
27;Co;[\citenum{Pou-Amérigo1995}];$^4F,3d^7$;$57.71$;1995;NR, MCPF
27;Co;[\citenum{Lide2004, Doolen1987}];$^4F_{9/2},3d^7$;$51 \pm 13$;2004;R, Dirac, LDA
27;Co;[\citenum{Chu2004}];$^4F_{9/2},3d^7$;$48.9$;2004;SIC-DFT
27;Co;[\citenum{Gould2016a}];$^4F,3d^7$;$53.9$;2016;TD-DFT (LEXX)
27;Co;[\citenum{Gould2016b}];$^4F,3d^7$;$60.9$;2016;TD-DFT (PGG)
27;Co;[\citenum{Gould2016b}];$^4F,3d^7$;$50.8$;2016;SIC-DFT (RXH)
27;Co;[\citenum{A.Manz2019}];$^4F_{9/2},3d^7$;$62.03$;2019;NR, CCSD
27;Co;[\citenum{Szarek2019}];$^4F_{9/2},3d^7$;$56.66$;2019;R, CCSD(T)/ANO-RCC
27;Co;[\citenum{Schwerdtfeger2019}];$--$;$55 \pm 4$;2019;recommended
28;Ni;[\citenum{Chandler1987}];$^3F,3d^8$;$48.3$;1987;NR, small CI, VPA
28;Ni;[\citenum{Pou-Amérigo1995}];$^3F,3d^8$;$51.10$;1995;NR, MCPF
28;Ni;[\citenum{Lide2004, Doolen1987}];$^3F_4,3d^8$;$46 \pm 11$;2004;R, Dirac, LDA
28;Ni;[\citenum{Chu2004}];$^3F_4,3d^8$;$44.5$;2004;SIC-DFT
28;Ni;[\citenum{Kłos2005a}];$^3F_4,3d^8$;$47.4 \pm 4.7$;2005;R, DK, MRCI
28;Ni;[\citenum{Gould2016a}];$^3F,3d^8$;$48.4$;2016;TD-DFT (LEXX)
28;Ni;[\citenum{Gould2016b}];$^3F,3d^8$;$55.3$;2016;TD-DFT (PGG)
28;Ni;[\citenum{Gould2016b}];$^3F,3d^8$;$46.2$;2016;SIC-DFT (RXH)
28;Ni;[\citenum{A.Manz2019}];$^3F_4,3d^8$;$57.32$;2019;NR, CCSD
28;Ni;[\citenum{Szarek2019}];$^3F_4,3d^8$;$56.57$;2019;R, CCSD(T)/ANO-RCC
28;Ni;[\citenum{Schwerdtfeger2019}];$--$;$49 \pm 3$;2019;recommended
28;Ni;[\citenum{CanalNeto2021}];$^3F,3d^8$;$50.849$;2021;R, CCSD(T)
28;Ni;[\citenum{Neto2021}];$^3F,3d^8$;$46.919$;2021;R, CCSD(T)
29;Cu;[\citenum{Schwerdtfeger1994}];$^2S_{1/2},3d{{10}}$;$45.0$;1994;R, PP, QCISD(T)
29;Cu;[\citenum{Pou-Amérigo1995}];$^2S,3d^{{10}}$;$53.44$;1995;NR, MCPF
29;Cu;[\citenum{Lide2004, Doolen1987}];$^2S_{1/2},3d^{{10}}$;$41 \pm 10$;2004;R, Dirac, LDA
29;Cu;[\citenum{Chu2004}];$^2S_{1/2},3d^{{10}}$;$39.5$;2004;SIC-DFT
29;Cu;[\citenum{Roos2005}];$^2S_{1/2},3d{{10}}$;$40.7 \pm 4.1$;2005;R, DK, CASPT2
29;Cu;[\citenum{Kłos2005a}];$^2S_{1/2},3d{{10}}$;$43.7 \pm 4.4$;2005;R, DK, MRCI
29;Cu;[\citenum{Maroulis2006, Neogrády1997}];$^2S_{1/2},3d{{10}}$;$46.50 \pm 0.35$;2006;R, DK, CCSD(T)
29;Cu;[\citenum{Mohr2009}];$^2S_{1/2},3d^{{10}}$;$46.98$;2009;R, DK, CCSD(T)
29;Cu;[\citenum{Mitroy2010a, Zhang2008a}];$^2S_{1/2},3d^{{10}}$;$41.65$;2010;CICP
29;Cu;[\citenum{Hohm2012, Sarkisov2006}];$^2S_{1/2},3d^{{10}}$;$54.7 \pm 5.5$;2012;exp.
29;Cu;[\citenum{Ma2015}];$^2S_{1/2},3d^{{10}}$;$58.7 \pm 4.7$;2015;exp.
29;Cu;[\citenum{Dyugaev2016}];$^2S,3d^{{10}}$;$51.8$;2016;semi-empirical
29;Cu;[\citenum{Ernst2016}];$^2S_{1/2},3d^{{10}}$;$42.6 \pm 4.3$;2016;DFT B3LYP/aug-cc-pVDZ
29;Cu;[\citenum{Gould2016a}];$^2S_{1/2},3d{{10}}$;$41.7$;2016;TD-DFT (LEXX)
29;Cu;[\citenum{Gould2016b}];$^2S_{1/2},3d{{10}}$;$46.1$;2016;TD-DFT (PGG)
29;Cu;[\citenum{Gould2016b}];$^2S_{1/2},3d{{10}}$;$41.2$;2016;SIC-DFT (RXH)
29;Cu;[\citenum{Schwerdtfeger2019}];$--$;$46.5 \pm 0.5$;2019;recommended
30;Zn;[\citenum{Kellö1995}];$^1S,3d^{{10}}$;$37.6$;1995;R, MVD, CCSD(T)
30;Zn;[\citenum{Goebel1996}];$^1S,3d^{{10}}$;$39.2 \pm 0.8$;1996;NR, CCSD(T), MP2 basis correction
30;Zn;[\citenum{Goebel1996}];$^1S_0,3d^{{10}}$;$38.8 \pm 0.8$;1996;exp.
30;Zn;[\citenum{Seth1997}];$^1S,3d^{{10}}$;$38.01$;1997;R, PP, CCSD(T)
30;Zn;[\citenum{Ellingsen2001}];$^1S_0,3d^{{10}}$;$39.12$;2001;R, MRCI, pseudo-potential
30;Zn;[\citenum{Lide2004, Doolen1987}];$^1S_0,3d^{{10}}$;$38 \pm 9$;2004;R, Dirac, LDA
30;Zn;[\citenum{Chu2004}];$^1S_0,3d^{{10}}$;$37.7$;2004;SIC-DFT
30;Zn;[\citenum{Roos2005}];$^1S,3d^{{10}}$;$38.4$;2005;R, DK, CASPT2
30;Zn;[\citenum{Maroulis2006, Kellö1995}];$^1S_0,3d^{{10}}$;$38.35 \pm 0.29$;2006;R, MVD, CCSD(T)
30;Zn;[\citenum{Singh2014}];$^1S_0,3d^{{10}}$;$38.666 \pm 0.096$;2014;R, Dirac, CCSDT
30;Zn;[\citenum{Chattopadhyay2015}];$^1S_0,3d^{{10}}$;$38.75$;2015;R, PRCC(T)
30;Zn;[\citenum{Chattopadhyay2015, Qiao2012}];$^1S_0,3d^{{10}}$;$38.92$;2015;exp.+fitting
30;Zn;[\citenum{Gould2016b}];$^1S_0,3d^{{10}}$;$39.2$;2016;SIC-DFT (RXH)
30;Zn;[\citenum{Szarek2019}];$^1S_0,3d^{{10}}$;$41.50$;2019;R, CCSD(T)/ANO-RCC
30;Zn;[\citenum{Schwerdtfeger2019}];$--$;$38.67 \pm 0.30$;2019;recommended
30;Zn;[\citenum{Zaremba-Kopczyk2021}];$^1S,3d^{{10}}$;$37.7$;2021;ECP, CCSD(T)
30;Zn;[\citenum{Chakraborty2022}];$^1S_0,3d^{{10}}$;$38.99 \pm 0.31$;2022;R, NCCSD
31;Ga;[\citenum{Stiehler1995}];$^2P$;$54.9 \pm 1.0$;1995;NR, PNO-CEPA, $M_L$ res.
31;Ga;[\citenum{Cernusak2003}];$^2P$;$52.91 \pm 0.40$;2003;R, DK, CCSD(T)
31;Ga;[\citenum{Fleig2005}];$^2P$;$50.7$;2005;R, SF, MRCI, $M_L$ res.
31;Ga;[\citenum{Fleig2005}];$^2P_{1/2}/^2P_{3/2}$;$49.9/51.6$;2005;R, Dirac, MRCI, $M_J$ res.
31;Ga;[\citenum{Buchachenko2010c}];$^2P_{1/2}/^2P_{3/2}$;$51.3 \pm 2.0/53.0 \pm 2.0$;2010;SI-SOCI, $M_J$ res.
31;Ga;[\citenum{Borschevsky2012}];$^2P_{1/2}/^2P_{3/2}$;$51.1 \pm 1.5/53.4 \pm 3.0$;2012;\makecell{R, Dirac, FSCC, $M_J$ res. \\($J=3/2$: $M_J=3/2$: 41.9, \\$M_J=1/2$: 65.0)}
31;Ga;[\citenum{Ma2015}];$^2P_{1/2}$;$46.6 \pm 4.0$;2015;exp.
31;Ga;[\citenum{Gould2016a}];$^2P_{1/2}$;$52.1$;2016;TD-DFT (LEXX)
31;Ga;[\citenum{Gould2016b}];$^2P_{1/2}$;$56.0$;2016;SIC-DFT (RXH)
31;Ga;[\citenum{A.Manz2019}];$^2P_{1/2}$;$53.01$;2019;NR, CCSD
31;Ga;[\citenum{Schwerdtfeger2019}];$--$;$50 \pm 3$;2019;recommended
31;Ga;[\citenum{CanalNeto2021}];$^2P_{1/2}$;$40.899$;2021;R, CCSD(T)
32;Ge;[\citenum{Stiehler1995}];$^3P$;$41.0$;1995;NR, PNO-CEPA, $M_L$ res.
32;Ge;[\citenum{Chu2004}];$^3P$;$41.6$;2004;SIC-DFT
32;Ge;[\citenum{Maroulis2006}];$^3P_0$;$40.80 \pm 0.82$;2006;R, PNO-CEPA
32;Ge;[\citenum{Thierfelder2008}];$^3P$;$39.97$;2008;\makecell{R, DK, CCSD(T), $M_L$ res. \\($M_L = 0$: 32.11, $M_L = 1$: 43.90)}
32;Ge;[\citenum{Thierfelder2008}];$^3P_0$;$39.43 \pm 0.80$;2008;R, Dirac Gaunt, CCSD(T)
32;Ge;[\citenum{Gould2016b}];$^3P$;$41.2$;2016;SIC-DFT (RXH)
32;Ge;[\citenum{A.Manz2019}];$^3P_0$;$39.78$;2019;NR, CCSD
32;Ge;[\citenum{Schwerdtfeger2019}];$--$;$40 \pm 1$;2019;recommended
33;As;[\citenum{Stiehler1995}];$^4S$;$29.1$;1995;NR, PNO-CEPA
33;As;[\citenum{Stiehler1995}];$^4S$;$30.5$;1995;NR, numerical MCSCF
33;As;[\citenum{Roos2004}];$^4S$;$29.8 \pm 0.6$;2004;R, DK, CASPT2
33;As;[\citenum{Chu2004}];$^4S$;$31.52$;2004;SIC-DFT
33;As;[\citenum{Buchachenko2010}];$^4S$;$29.92$;2010;R, DK, CCSD(T)
33;As;[\citenum{Buchachenko2010}];$^4S$;$29.81$;2010;ECP, CCSD(T)
33;As;[\citenum{Gould2016a}];$^4S$;$29.6$;2016;TD-DFT (LEXX)
33;As;[\citenum{Gould2016b}];$^4S$;$30.7$;2016;SIC-DFT (RXH)
33;As;[\citenum{A.Manz2019}];$^4S$;$29.65$;2019;NR, CCSD
33;As;[\citenum{Schwerdtfeger2019}];$--$;$30 \pm 1$;2019;recommended
33;As;[\citenum{Visentin2020}];$^4S$;$29.6$;2020;ECP, CCSD(T)
34;Se;[\citenum{Alpher1959}];$^3P$;$26.24 \pm 0.52$;1959;R, MVD, CASPT2, $M_L$ res.
34;Se;[\citenum{Cuthbertson1997}];$^3P_2$;$28.9 \pm 1.0$;1997;exp.
34;Se;[\citenum{Chu2004}];$^3P$;$26.65$;2004;SIC-DFT
34;Se;[\citenum{Gould2016b}];$^3P$;$29.3$;2016;TD-DFT (PGG)
34;Se;[\citenum{Gould2016b}];$^3P$;$24.0$;2016;SIC-DFT (RXH)
34;Se;[\citenum{A.Manz2019}];$^3P$;$25.03$;2019;NR, CCSD
34;Se;[\citenum{Schwerdtfeger2019}];$--$;$28.9 \pm 1.0$;2019;recommended
35;Br;[\citenum{MEDVEĎ2000a}];$^2P$;$21.03$;2000;R, MVD, CASPT2, $M_L$ res.
35;Br;[\citenum{Fleig2002}];$^2P_{1/2}$;$21.9$;2002;R, DK, SO-CI
35;Br;[\citenum{Fleig2002}];$^2P_{3/2}$;$21.7$;2002;R, DK, SO-CI, $M_J$ res.
35;Br;[\citenum{Chu2004}];$^2P$;$21.5$;2004;SIC-DFT
35;Br;[\citenum{Maroulis2006, MEDVEĎ2000a}];$^2P$;$21.13 \pm 0.42$;2006;R, MVD, CASPT2
35;Br;[\citenum{Gould2016b}];$^2P$;$21.6$;2016;TD-DFT (LEXX)
35;Br;[\citenum{A.Manz2019}];$^2P$;$20.4$;2019;NR, CCSD
35;Br;[\citenum{Schwerdtfeger2019}];$--$;$21 \pm 1$;2019;recommended
36;Kr;[\citenum{Orcutt1967}];$^1S_0$;$16.766 \pm 0.008$;1967;exp.
36;Kr;[\citenum{Hohm1990}];$^1S$;$16.80 \pm 0.13$;1990;R, DK3, CCSD(T)
36;Kr;[\citenum{Huot1991}];$^1S_0$;$16.782 \pm 0.005$;1991;exp.
36;Kr;[\citenum{Thakkar1992}];$^1S_0$;$16.79$;1992;DOSD (constrained dipole oscillator strength distribution)
36;Kr;[\citenum{Dalgarno1997b, Hohm1990}];$^1S_0$;$16.740$;1997;exp.
36;Kr;[\citenum{Dalgarno1997b}];$^1S_0$;$16.734$;1997;exp.
36;Kr;[\citenum{Roos2004}];$^1S$;$16.6$;2004;R, DK, CASPT2
36;Kr;[\citenum{Mani2009}];$^1S_0$;$16.012$;2009;R, Dirac, CCSD/T
36;Kr;[\citenum{Chattopadhyay2012}];$^1S_0$;$16.736$;2012;R, DK3, CCSD(T)
36;Kr;[\citenum{Dzuba2016b}];$^1S_0$;$16.47$;2016;R, RPA, PolPot
36;Kr;[\citenum{Schwerdtfeger2019}];$--$;$16.78 \pm 0.02$;2019;recommended
36;Kr;[\citenum{Dutta2020}];$^1S_0$;$16.800$;2020;R, DHF, MBPT
37;Rb;[\citenum{Molof1974}];$^2S_{1/2}$;$319 \pm 6$;1974;exp.
37;Rb;[\citenum{Mitroy2003}];$^2S$;$315.7$;2003;Combination of ab initio and semi-empirical methods
37;Rb;[\citenum{Lim2005}];$^2S$;$316.2 \pm 3.2$;2005;R, DK, CCSD(T), AE
37;Rb;[\citenum{Maroulis2006}];$^2S_{1/2}$;$319.2 \pm 6.1$;2006;exp.
37;Rb;[\citenum{Derevianko1999, Derevianko2010}];$^2S_{1/2}$;$318.6 \pm 0.6$;2010;R, SD all orders + exp. data
37;Rb;[\citenum{Holmgren2010}];$^2S_{1/2}$;$318.8 \pm 1.4$;2010;exp.
37;Rb;[\citenum{Jiang2015a}];$^2S$;$317.0$;2015;Oscillator-strength sum rule
37;Rb;[\citenum{Gregoire2015, Gregoire2016}];$^2S_{1/2}$;$319.8 \pm 0.3$;2016;exp.
37;Rb;[\citenum{Schwerdtfeger2019}];$--$;$319.8 \pm 0.3$;2019;recommended
37;Rb;[\citenum{Smialkowski2021}];$^2S_{1/2}$;$317.4$;2021;SR, CCSD(T), ECP
37;Rb;[\citenum{Kaur2022}];$^2S_{1/2}$;$318.5 \pm 0.6$;2022;R, DHF, all orders
37;Rb;[\citenum{Badhan2022}];$^2S_{1/2}$;$318.38 \pm 0.38$;2022;R, Dirac-HF, pertubative singles + doubles method, RPA
37;Rb;[\citenum{Hamilton2023}];$^2S_{1/2}$;$319.5 \pm 1.5$;2023;\makecell{R, TDHF + Breit + QED + scaling \\+ structure radiation + normaliz.}
38;Sr;[\citenum{Patil2000}];$^1S_0$;$193.2$;2000;Model potential
38;Sr;[\citenum{Bromley2002}];$^1S_0$;$198.5 \pm 1.3$;2002;CI, oscillator strength correction
38;Sr;[\citenum{Mitroy2003}];$^1S_0$;$201.2$;2003;Combination of ab initio and semi-empirical methods
38;Sr;[\citenum{Lim2004}];$^1S_0$;$199.4$;2004;R, DK + SO, CCSD(T)
38;Sr;[\citenum{Lim2004}];$^1S_0$;$198.85$;2004;R, DK, CCSD(T)
38;Sr;[\citenum{Lide2004}];$^1S_0$;$186 \pm 15$;2004;exp.
38;Sr;[\citenum{Maroulis2006, Porsev2002}];$^1S$;$199.0 \pm 2.0$;2006;R, CI, MBPT2
38;Sr;[\citenum{Porsev2006}];$^1S_0$;$202.0$;2006;Hybrid-RCI + MBPT sum rule
38;Sr;[\citenum{Sahoo2008}];$^1S_0$;$199.71$;2008;R, Dirac, coupled cluster
38;Sr;[\citenum{Porsev2006a, Porsev2008}];$^1S_0$;$197.2 \pm 3.6$;2008;R, Dirac, CI + MBPT + experimental data
38;Sr;[\citenum{Mitroy2008}];$^1S_0$;$201.6$;2008;Combination of ab initio and experimental results
38;Sr;[\citenum{Mitroy2010}];$^1S_0$;$197.6$;2010;CI + core polarisation (corrected to exp. term energies)
38;Sr;[\citenum{Porsev2006, Derevianko2010}];$^1S_0$;$197.2 \pm 0.2$;2010;Hybrid-RCI + MBPT sum rule
38;Sr;[\citenum{Singh2013}];$^1S_0$;$186.98 \pm 0.85$;2013;R, Dirac, MBPT, CCSD
38;Sr;[\citenum{Cheng2013}];$^1S_0$;$197.8$;2013;Combination of theoretical (CICP) and experimental methods
38;Sr;[\citenum{Safronova2013b}];$^1S_0$;$197.14 \pm 0.2$;2013;CI + MBPT and experimental results
38;Sr;[\citenum{Safronova2013b}];$^1S_0$;$198.9 \pm 2.0$;2013;CI + MBPT-SD and experimental results
38;Sr;[\citenum{Chattopadhyay2014}];$^1S_0$;$190.82$;2014;\makecell{R, Dirac + Breit, perturbed relativistic \\coupled-cluster theory (PRCC)}
38;Sr;[\citenum{Jiang2015a}];$^1S_0$;$197.9$;2015;Oscillator-strength sum rule
38;Sr;[\citenum{Visentin2019}];$^1S_0$;$198.62/198.93$;2019;CCSD(T), ECP/R X2C-28
38;Sr;[\citenum{Bala2019}];$^1S_0$;$196.5$;2019;R, KRCISD/aug-QZ
38;Sr;[\citenum{Schwerdtfeger2019}];$--$;$197.2 \pm 0.2$;2019;recommended
38;Sr;[\citenum{Shukla2020}];$^1S_0$;$214.5$;2020;R, MCDF
38;Sr;[\citenum{CanalNeto2021}];$^1S_0$;$203.16$;2021;R, CCSD(T)
39;Y;[\citenum{Lide2004, Doolen1987}];$^2D_{3/2},4d^1$;$153 \pm 38$;2004;R, Dirac, LDA
39;Y;[\citenum{Li2009}];$^2D_{3/2},4d^1$;$140.94$;2009;DFT, ECP
39;Y;[\citenum{Hohm2012, Chu2007}];$^2D_{3/2},4d^1$;$139 \pm 28$;2012;TD-DFT
39;Y;[\citenum{Ma2015}];$^2D_{3/2},4d^1$;$163 \pm 12$;2015;exp.
